            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0005 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5.1 Net supply and use of energy, Australia (Petajoules), 2017-18 (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supply,,,,,,,,,,,Use,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Transport,Commercial and services,Total direct extraction,Of which direct extraction by Households,Imports,Total supply,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Transport,Commercial and services,Total net use by industry,Of which government use,Net use by households,Accumulation and statistical discrepancy,Exports,Conversion and losses (b),Total net use,Total use,
Black coal,-,"12,370",-,-,-,-,-,"12,370",-,-,"12,370",-,-,105,-,-,-,-,105,-,-,220,"10,761","1,284","11,086","12,370",
Brown coal,-,-,-,473,-,-,-,473,-,-,473,-,-,-,-,-,-,-,-,-,-,-,-,473,-,473,
Met coke,-,-,-,-,-,-,-,-,-,-,-,-,np,np,-,-,-,-,8,-,-,-10,20,-18,18,-,
Coal by-products,-,-,-,-,-,-,-,-,-,-,-,-,np,np,-,-,-,-,-,-,-,4,-,-5,5,-,
Briquettes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Natural gas (incl town gas),-,"4,824",-,-,-,-,-,"4,824",-,93,"4,918",1,122,383,7,-,11,67,592,10,161,-14,5,"4,175",743,"4,918",
Liquefied natural gas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,376","-3,376","3,376",-,
Crude oil and refinery feedstock,-,589,-,-,-,-,-,589,-,868,"1,457",-,1,51,1,-,-,-,53,-,-,-176,500,"1,081",376,"1,457",
Petrol,-,-,-,-,-,-,-,-,-,223,223,7,np,np,1,18,8,29,70,8,561,-40,23,-390,614,223,
Diesel,-,-,-,-,-,-,-,-,-,778,778,99,281,30,17,109,260,82,880,30,209,18,5,-333,"1,111",778,
Other refined fuels and products,-,-,-,-,-,-,-,-,-,316,316,-,5,38,3,-,371,-,417,11,-,119,30,-251,567,316,
LPG,-,82,30,-,-,-,-,112,-,23,135,2,1,5,-,2,3,6,20,1,50,-4,69,-,134,135,
Biofuels,-,-,11,13,-,-,-,23,-,-,23,-,np,np,-,-,6,-,7,-,-,-1,-,17,6,23,
Wood / Wood waste,73,-,21,-,-,-,-,94,28,-,94,-,-,28,-,-,-,-,29,-,48,-,-,17,77,94,
Bagasse,-,-,100,-,-,-,-,100,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,100,-,100,
Electricity,-,-,-,-,-,-,-,-,-,-,-,8,137,290,113,7,17,153,724,55,207,-7,7,-930,931,-,
Hydro,-,-,-,58,-,-,-,58,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,57,-,58,
Solar energy,-,-,-,52,-,-,-,53,49,-,53,-,-,-,-,-,-,-,-,-,49,-,-,4,49,53,
Wind energy,-,-,-,55,-,-,-,55,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,55,-,55,
Uranium,-,"3,127",-,-,-,-,-,"3,127",-,-,"3,127",-,-,-,-,-,-,-,-,-,-,-688,"3,815",-,"3,127","3,127",
Total,73,"20,992",163,650,-,-,-,"21,879",78,"2,301","24,180",117,550,946,142,135,677,337,"2,904",115,"1,285",-579,"18,609","1,960","22,220","24,180",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - nil or rounded to zero (including null cells),,,,,,,,,,,,,,,,,,,,,,,,,,,
np not available for publication,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Any discrepancies between totals and sums of components in this publication are due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Negative numbers indicate net production of fuels, positive numbers indicate losses of energy in conversion.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
