Date,Net energy use index,"GDP, Chain volume series - Index",Degree of self sufficiency,Renewable energy supply of total domestic net energy use,Share of renewable energy in net energy inputs,Government use of net domestic energy,Estimated resident population - Australia,Estimated number of households -  Australia,Energy use (Net) - per person,Energy use (Net) - per household,Gas costs - per household,Petroleum costs - per household,Electricity costs - per household,Total energy costs - per household,Energy extracted (Net) - per household,Renewable energy extracted by households
2003,100.0,100.0,307.0,8.5,1.7,2.6,"19,720,737.0","7,264,723.0",55.7,151.3,0,0,0,0,6.3,45.9
2004,101.3,104.1,303.8,8.3,1.6,2.6,"19,932,722.0","7,396,137.0",56.6,152.6,0,0,0,0,6.0,44.2
2005,109.6,107.4,320.5,8.2,1.5,2.5,"20,176,844.0","7,526,410.0",55.8,149.7,0,0,0,0,5.7,42.7
2005,108.1,110.4,305.9,8.2,1.6,2.5,"20,450,966.0","7,656,969.0",55.7,148.7,0,0,0,0,5.4,41.2
2007,112.6,114.6,307.7,8.1,1.5,2.5,"20,827,622.0","7,803,641.0",55.1,147.1,0,0,0,0,5.6,43.5
2008,115.2,118.8,311.8,7.9,1.5,2.5,"21,249,199.0","7,953,657.0",54.4,145.4,0,0,0,0,5.4,42.8
2009,119.2,121.1,315.4,6.6,1.2,2.5,"21,691,653.0","8,106,022.0",53.2,142.5,463.6,"2,483.8","1,176.0","4,123.5",5.3,43.0
2010,116.0,123.6,304.4,7.7,1.5,2.6,"22,031,750.0","8,262,019.0",53.0,141.3,505.1,"2,374.2","1,309.6","4,188.9",5.4,44.6
2011,114.8,126.7,293.9,7.8,1.5,2.6,"22,340,024.0","8,419,972.0",53.7,142.4,576.4,"2,679.7","1,415.1","4,671.2",5.7,48.1
2012,119.0,131.6,306.2,7.6,1.5,2.6,"22,733,465.0","8,576,293.0",53.1,140.6,639.2,"2,770.3","1,523.7","4,933.3",6.1,52.5
2013,130.2,135.0,334.6,8.5,1.5,2.6,"23,128,129.0","8,737,962.0",52.9,139.9,722.3,"2,754.2","1,639.4","5,115.8",6.6,57.9
2014,127.2,138.5,327.6,8.7,1.6,2.7,"23,475,686.0","8,902,436.0",52.2,137.7,775.2,"2,924.5","1,657.7","5,357.4",6.7,59.4
2015,132.0,141.5,340.0,8.8,1.6,2.7,"23,815,995.0","9,072,188.0",52.6,138.1,820.6,"2,573.5","1,548.7","4,942.8",7.1,64.7
2016,138.6,145.4,350.2,8.8,1.6,2.7,"24,190,907.0","9,204,635.0",51.4,135.1,848.6,"2,291.2","1,541.2","4,681.0",7.3,67.1
2017,141.4,148.9,352.5,9.2,1.6,2.7,"24,601,860.0","9,345,350.0",51.5,135.6,882.0,"2,303.7","1,666.5","4,852.3",7.6,71.4
2018,144.4,153.2,355.8,9.1,1.6,2.7,"24,992,747.0","9,495,177.0",51.4,135.3,921.5,"2,519.9","1,827.1","5,268.6",8.2,77.7
