Commodity,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Commercial and Services
Black coal,0,"12,370",0,0,0,0
Brown coal,0,0,0,473,0,0
Met Coke,0,0,68,0,0,0
Coal by-products,0,0,44,0,0,0
Briquettes,0,0,0,0,0,0
Natural gas,0,"4,824",0,0,0,0
LNG,0,"3,376",0,0,0,0
Crude oil and feedstocks,0,589,0,0,0,0
Petrol,0,0,390,0,0,0
Diesel,0,0,355,0,0,0
Other refined fuels and products,0,0,399,0,0,0
LPG,0,82,30,0,0,0
Biofuels,0,0,11,13,0,0
Wood and wood waste,73,0,21,0,0,0
Bagasse,0,0,100,0,0,0
Electricity,0,61,24,838,4,1
Hydro energy,0,0,0,58,0,0
Solar energy ,0,0,0,52,0,0
Wind energy,0,0,0,55,0,0
Uranium,0,"3,127",0,0,0,0
