,index,Black Coal,Brown Coal,Black Oil,Condensate,LPG,Natural Gas,Uranium
0,2002,"1,053,000","368,480","7,045","9,820","7,182","99,117","381,920"
1,2003,"1,063,800","367,500","6,682","9,065","6,090","95,137","385,280"
2,2004,"1,074,600","367,500","6,634","8,762","5,311","93,215","396,760"
3,2005,"1,063,800","366,520","6,172","8,684","5,297","92,943","400,400"
4,2006,"1,061,100","365,540","5,957","8,229","5,032","91,794","475,160"
5,2007,"1,055,700","365,540","6,460","10,138","4,606","105,420","600,880"
6,2008,"1,120,500","364,560","6,608","12,236","4,290","117,523","668,080"
7,2009,"1,155,600","374,360","5,979","12,217","4,049","113,236","666,680"
8,2010,"1,341,900","408,660","5,409","11,903","3,869","108,875","658,280"
9,2011,"1,601,100","433,160","5,265","11,407","3,827","102,651","662,760"
10,2012,"1,663,200","433,160","5,347","10,726","3,866","94,376","655,480"
11,2013,"1,676,700","433,160","5,173","10,782","3,978","101,273","649,040"
12,2014,"1,760,400","590,940","4,984","11,685","4,078","114,886","682,640"
13,2015,"1,879,200","749,700","4,851","12,110","4,150","117,364","715,960"
14,2016,"2,138,400","749,700","4,751","12,177","4,208","120,078","716,800"
15,2017,"2,454,300","749,700","4,658","12,365","4,290","124,792","729,680"
16,2018,"2,659,500","749,700","4,533","12,739","4,380","132,725","746,368"
